block_size,number_of_blocks_in_output_image,overlap_size,number_of_cycles,runtime_ms
// leaf image
// Baseline
16,33,4,29053826466,16.141015
16,39,6,52821737519,29.345410
16,49,8,101714719965,56.508178
32,16,8,18300906558,10.167170
32,19,12,36091087819,20.050604
32,24,16,71621030051,39.789461
64,8,16,8824473307,4.902485
64,9,24,15929680647,8.849823
64,11,32,30011813028,16.673229
128,3,32,23153324,0.012863
128,4,48,64997052,0.036109
128,5,64,132559183,0.073644
// Opt 4
16,33,4,16192801000,8.996001
16,39,6,28493394820,15.829664
16,49,8,53091459135,29.495255
32,16,8,9429647442,5.238693
32,19,12,17613913893,9.785508
32,24,16,34322760579,19.068200
64,8,16,4158060996,2.310034
64,9,24,7307776884,4.059876
64,11,32,13570028644,7.538905
128,3,32,12317226,0.006843
128,4,48,39818342,0.022121
128,5,64,74525117,0.041403
// Opt 5
16,33,4,12132634038,6.740352
16,39,6,19768149453,10.982305
16,49,8,34703259945,19.279589
32,16,8,6328761547,3.515979
32,19,12,11134976350,6.186098
32,24,16,12432927199,6.907182
64,8,16,1583813043,0.879896
64,9,24,3416795865,1.898220
64,11,32,4125105758,2.291725
128,3,32,5419329,0.003011
128,4,48,12899706,0.007167
128,5,64,23706768,0.013170
// Opt 6a
16,33,4,12176928214,6.764960
16,39,6,19547375055,10.859653
16,49,8,31757706568,17.643170
32,16,8,6316647448,3.509249
32,19,12,10769447403,5.983026
32,24,16,9066194730,5.036775
64,8,16,1068148860,0.593416
64,9,24,2895583626,1.608658
64,11,32,3365176313,1.869542
128,3,32,4490104,0.002495
128,4,48,10035710,0.005575
128,5,64,18484602,0.010269
// Opt 6c
16,33,4,6561286291,3.645159
16,39,6,10780417112,5.989121
16,49,8,18660518155,10.366955
32,16,8,4872194960,2.706775
32,19,12,8451445304,4.695247
32,24,16,6716171670,3.731206
64,8,16,1092229090,0.606794
64,9,24,2696016578,1.497787
64,11,32,2596759225,1.442644
128,3,32,4296112,0.002387
128,4,48,10325014,0.005736
128,5,64,17980568,0.009989
// Opt 6d
16,33,4,10955537009,6.086409
16,39,6,20676693666,11.487052
16,49,8,40394815798,22.441564
32,16,8,6551056642,3.639476
32,19,12,12426652537,6.903696
32,24,16,23363681094,12.979823
64,8,16,1852157759,1.028977
64,9,24,3157986045,1.754437
64,11,32,5258172246,2.921207
128,3,32,3032909,0.001685
128,4,48,5789471,0.003216
128,5,64,9891231,0.005495
// Opt 9
16,33,4,7117095985,3.953942
16,39,6,11751151649,6.528418
16,49,8,19752197622,10.973443
32,16,8,4693669086,2.607594
32,19,12,8526126994,4.736737
32,24,16,7739331983,4.299629
64,8,16,1216508437,0.675838
64,9,24,2946782632,1.637101
64,11,32,2825410763,1.569673
128,3,32,4627979,0.002571
128,4,48,10974137,0.006097
128,5,64,19277713,0.010710
// Opt 10
16,33,4,6628020574,3.682234
16,39,6,10820694831,6.011497
16,49,8,18909480396,10.505267
32,16,8,4626005206,2.570003
32,19,12,8357430080,4.643017
32,24,16,6761597579,3.756443
64,8,16,1092439668,0.606911
64,9,24,2720941422,1.511634
64,11,32,2708272096,1.504596
128,3,32,4332717,0.002407
128,4,48,10262301,0.005701
128,5,64,18408125,0.010227
